species,status,state,estimated_population
Leadbeater's Possum,Critically Endangered,Victoria,40
Southern Corroboree Frog,Critically Endangered,NSW,50
Orange-bellied Parrot,Critically Endangered,Tasmania,70
Gilbert's Potoroo,Critically Endangered,WA,100
Northern Hairy-nosed Wombat,Critically Endangered,Queensland,315
Regent Honeyeater,Critically Endangered,NSW,350
Swift Parrot,Critically Endangered,Tasmania,750
Mountain Pygmy-possum,Endangered,Victoria,2000
Western Ringtail Possum,Critically Endangered,WA,3400
